PREFIXO: ;3D-015
NOME DO POSTO: ;GUARIPOCABA
MUNICÍPIO: ;BRAGANCA PAULISTA
CURSO D'ÁGUA: ;JAGUARI,R
ÁREA (Km²): ;1.353,00
LATITUDE: ;22°54'24"
LONGITUDE: ;46°28'37"
 
Obs: valores com --- representam dados inexistentes.
 
Vazões médias diárias (m³/s)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Vazão Mínima;Vazão Média;Vazão Máxima
  02/1975;25,034;30,865;37,680;45,869;59,515;69,410;62,191;63,205;59,848;56,882;49,239;39,961;35,171;31,393;45,566;34,622;28,788;26,763;27,516;32,993;30,080;29,561;31,393;35,724;30,865;32,993;33,263;46,475;---;---;---;25,034;40,459;69,410
  03/1975;62,528;84,296;69,410;48,004;36,837;32,993;30,865;29,561;29,820;30,080;26,763;25,034;24,547;24,790;24,064;22,636;22,167;21,701;21,009;20,325;20,780;22,636;22,401;22,167;29,820;27,516;24,064;22,167;21,469;21,009;22,167;20,325;30,440;84,296
  04/1975;25,278;27,516;22,872;22,167;21,009;21,469;20,325;19,874;19,426;19,426;20,099;21,701;19,203;18,761;18,981;21,009;21,701;18,761;18,981;16,394;17,887;17,028;16,184;17,028;16,816;16,394;15,976;15,976;15,976;15,561;---;15,561;19,326;27,516
  05/1975;15,151;15,768;15,561;15,976;17,241;18,761;18,761;20,099;18,761;16,816;16,816;15,356;15,561;15,356;14,947;14,543;14,543;14,543;13,943;14,745;13,943;13,943;13,746;13,943;13,158;13,549;13,353;13,158;13,549;13,158;13,158;13,158;15,223;20,099
  06/1975;12,965;12,965;12,965;12,772;12,965;12,965;12,965;12,772;12,580;12,200;11,824;11,824;11,824;11,824;11,452;11,824;11,824;11,637;11,637;11,637;11,268;11,084;10,902;11,084;11,268;10,902;10,902;10,902;10,362;11,268;---;10,362;11,845;12,965
  07/1975;11,452;11,268;11,084;12,965;13,353;13,549;11,824;11,637;11,637;10,721;10,902;10,721;10,541;10,541;10,541;10,541;10,362;10,541;10,721;10,362;10,541;10,541;10,541;10,362;10,362;9,657;9,311;9,657;9,657;9,483;9,657;9,311;10,807;13,549
  08/1975;9,483;9,483;8,970;8,801;9,140;8,970;8,801;8,970;8,633;8,466;8,633;8,970;8,633;8,136;8,136;8,301;7,650;7,811;7,811;7,811;7,650;7,650;7,650;7,175;7,811;7,650;7,490;7,490;7,175;7,332;6,864;6,864;8,179;9,483
  09/1975;6,710;6,710;6,864;6,864;6,710;6,710;6,710;6,407;5,961;6,257;5,815;5,961;5,815;5,961;5,815;5,961;5,815;5,105;5,244;7,019;5,105;5,385;7,811;4,560;5,105;5,105;5,527;6,257;7,811;7,811;---;4,560;6,163;7,811
  10/1975;9,483;11,084;8,970;7,811;10,721;11,637;10,902;21,701;20,552;12,200;11,637;16,816;18,981;12,200;11,824;11,637;10,721;8,801;9,657;11,452;11,452;9,831;8,970;8,136;7,650;7,019;6,710;6,558;6,109;6,109;8,466;6,109;10,832;21,701
  11/1975;9,831;13,943;12,965;11,824;9,483;9,483;9,140;10,541;9,483;8,970;9,311;11,084;12,390;10,007;8,301;7,650;7,650;7,490;7,973;10,362;12,772;15,151;17,456;21,933;18,541;28,277;50,173;57,864;50,799;37,680;---;7,490;16,951;57,864
  12/1975;38,815;39,387;30,341;22,872;20,780;19,426;18,322;17,887;18,981;24,305;21,701;17,887;41,120;66,969;68,989;68,651;42,469;34,516;37,735;36,113;28,887;25,734;38,281;37,735;50,694;69,667;91,462;82,995;78,696;62,015;46,223;17,887;41,924;91,462
