,y_valid,q_pred0,q_pred1,q_pred2,q_pred3
59,4.27,4.32,4.221433,4.8406453,3.075816
60,4.2,4.27,4.6173244,4.8348,3.2900198
61,4.06,4.2,3.5434098,4.7404985,3.4277663
62,3.92,4.06,5.3823514,4.598818,3.3403757
63,3.85,3.92,3.2582076,4.4840484,2.5866535
64,3.79,3.85,4.6261196,4.451621,3.1910071
65,3.71,3.79,3.6486385,4.3863535,2.6353621
66,3.6700000000000004,3.71,3.9437947,4.3118467,2.5639217
67,3.64,3.6700000000000004,4.7387376,4.2983875,2.7457907
68,3.7000000000000006,3.64,6.1512904,4.2641864,2.5409718
69,4.0,3.7000000000000006,5.326189,4.3673177,2.8206758
70,3.8699999999999997,4.0,4.108889,4.727156,3.2192807
71,3.7999999999999994,3.8699999999999997,5.7302127,4.34138,2.923845
72,3.7200000000000006,3.7999999999999994,5.128902,4.462943,3.0123212
73,3.6799999999999997,3.7200000000000006,4.97235,4.2822747,2.695952
74,3.7200000000000006,3.6799999999999997,5.430594,4.329141,2.5973363
75,3.58,3.7200000000000006,6.608597,4.358307,2.6177807
76,3.48,3.58,3.136622,4.146434,2.537466
77,3.48,3.48,5.925762,4.127333,2.2428813
78,3.41,3.48,5.0844965,4.138188,2.627165
79,3.43,3.41,5.4424295,4.034362,2.318068
80,3.6,3.43,6.2745824,4.121269,2.4399054
81,5.210000000000001,3.6,5.8441405,4.3090353,2.7777643
82,7.29,5.210000000000001,3.9487853,6.4468393,4.5947
83,6.570000000000001,7.29,8.3587265,8.129929,6.5382686
84,5.800000000000001,6.570000000000001,7.6734324,6.1731243,4.9138274
85,5.12,5.800000000000001,5.61453,6.21091,4.861589
86,4.78,5.12,6.6363206,5.2417006,3.871468
87,4.65,4.78,3.9520519,5.3181224,3.701098
88,4.51,4.65,1.9100409,5.0934663,3.6365206
89,4.34,4.51,4.4644647,5.02586,3.6474183
90,4.19,4.34,5.342852,4.8272014,3.4853761
91,3.81,4.19,3.893711,4.7308693,3.0391717
92,3.33,3.81,4.824577,4.255572,2.5306714
93,3.43,3.33,4.324567,3.856032,2.1413634
94,3.6799999999999997,3.43,3.1100118,4.2226114,2.5658507
95,3.71,3.6799999999999997,3.3745103,4.3630433,2.779415
96,3.42,3.71,3.7566674,4.325093,2.674574
97,3.31,3.42,1.9557985,3.942089,2.4199355
98,3.19,3.31,6.633288,4.0062947,2.3453457
99,3.08,3.19,5.219782,3.8023777,2.2467642
100,3.04,3.08,3.381743,3.7647977,2.1157107
101,3.27,3.04,2.734336,3.730346,1.9684072
102,3.46,3.27,4.1318345,4.070827,2.3253002
103,3.28,3.46,5.788274,4.142399,2.377471
104,3.29,3.28,5.1663313,3.8505933,2.1102936
